pair_id,original_drug_id,original_drug_name,side,atc_code,alternative_drug_id,alternative_drug_name,source_url,scraped_at
951800,DDInter14,Acetaminophen,A,N02B,DDInter370,Choline salicylate,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter14,Acetaminophen,A,N02B,DDInter551,Diflunisal,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter14,Acetaminophen,A,N02B,DDInter1179,Methoxyflurane,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter14,Acetaminophen,A,N02A,DDInter1262,Naloxone,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter14,Acetaminophen,A,N02B,DDInter1633,Salicylic acid (sodium),https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter14,Acetaminophen,A,N02B,DDInter1634,Salicylic acid (topical),https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter14,Acetaminophen,A,N02B,DDInter1637,Salsalate,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter293,Carbamazepine,B,N03A,DDInter239,Brivaracetam,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter293,Carbamazepine,B,N03A,DDInter674,Eslicarbazepine,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter293,Carbamazepine,B,N03A,DDInter695,Ethosuximide,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter293,Carbamazepine,B,N03A,DDInter708,Ezogabine,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951800,DDInter293,Carbamazepine,B,N03A,DDInter715,Felbamate,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
