definition_id,severity,mechanism,description,source_url,scraped_at
-1,Unknown,Unknown,,https://ddinter.scbdd.com/ddinter/inter-detail/-1/,2026-09-09T10:09:05+00:00
130,Moderate,Metabolism,"Coadministration of cyclosporine and ticagrelor may increase the plasma concentrations of both drugs. Although the interaction has not been studied, competitive or noncompetitive inhibition of P-glycoprotein and CYP450 3A4 is possible, since these drugs are substrates as well as inhibitors of both the drug efflux transporter and isoenzyme.",https://ddinter.scbdd.com/ddinter/inter-detail/130/,2026-09-09T10:09:05+00:00
137,Minor,Others,"Ventricular pauses and bradycardia, mostly asymptomatic, have been observed in clinical studies with ticagrelor.",https://ddinter.scbdd.com/ddinter/inter-detail/137/,2026-09-09T10:09:05+00:00
165,Moderate,Synergy,Coadministration with nonsteroidal anti-inflammatory drugs (NSAIDs) may potentiate the risk of central nervous system toxicity sometimes associated with fluoroquinolone use. Some investigators suggest that the piperazine ring of fluoroquinolones may inhibit the binding of gamma-aminobutyric acid (GABA) to brain receptors and that NSAIDs may synergistically add to this effect. Patients with a history of seizures may be at greater risk.,https://ddinter.scbdd.com/ddinter/inter-detail/165/,2026-09-09T10:09:05+00:00
255,Major,Metabolism,"Coadministration with ritonavir may significantly increase the plasma concentrations of some antiarrhythmic agents such as amiodarone, bepridil, flecainide, propafenone, and quinidine. The proposed mechanism is ritonavir inhibition of CYP450 3A4 and/or 2D6, the isoenzymes responsible for the metabolic clearance of these agents. Although clinical data are lacking, the interaction could conceivably lead to serious and/or life-threatening reactions including QT interval prolongation and ventricular arrhythmias such as ventricular tachycardia and torsade de pointes.",https://ddinter.scbdd.com/ddinter/inter-detail/255/,2026-09-09T10:09:05+00:00
363,Major,Synergy,"Class IA (e.g., disopyramide, quinidine, procainamide) and class III (e.g., amiodarone, dofetilide, sotalol) antiarrhythmic agents can cause dose-related prolongation of the QT interval. Theoretically, coadministration with other agents that can prolong the QT interval may result in additive effects and increased risk of ventricular arrhythmias including torsade de pointes and sudden death.",https://ddinter.scbdd.com/ddinter/inter-detail/363/,2026-09-09T10:09:05+00:00
1011,Moderate,Synergy,Penicillins may occasionally potentiate the risk of bleeding in patients treated with oral anticoagulants. The exact mechanism of interaction is unknown but may involve penicillin inhibition of platelet aggregation.,https://ddinter.scbdd.com/ddinter/inter-detail/1011/,2026-09-09T10:09:05+00:00
1024,Major,Excretion,Concomitant use of large doses of penicillins may elevate serum methotrexate concentrations. The mechanism may involve competitive inhibition of renal tubular secretion of methotrexate.,https://ddinter.scbdd.com/ddinter/inter-detail/1024/,2026-09-09T10:09:05+00:00
1064,Moderate,Synergy,"Agents with anticholinergic properties (e.g., sedating antihistamines; antispasmodics; neuroleptics; phenothiazines; skeletal muscle relaxants; tricyclic antidepressants; disopyramide) may have additive effects when used in combination. Excessive parasympatholytic effects may result in paralytic ileus, hyperthermia, heat stroke, and the anticholinergic intoxication syndrome. Peripheral symptoms of intoxication commonly include mydriasis, blurred vision, flushed face, fever, dry skin and mucous membranes, tachycardia, urinary retention, and constipation. Central symptoms may include memory loss, disorientation, incoherence, hallucinations, psychosis, delirium, hyperactivity, twitching or jerking movements, stereotypy, and seizures. Central nervous system-depressant effects may also be additively or synergistically increased when these agents are combined, especially in elderly or debilitated patients.",https://ddinter.scbdd.com/ddinter/inter-detail/1064/,2026-09-09T10:09:05+00:00
1097,Moderate,Synergy,"Coadministration of a sodium-glucose co-transporter 2 (SGLT-2) inhibitor with an insulin secretagogue (e.g., sulfonylurea, meglitinide) or insulin may potentiate the risk of hypoglycemia.",https://ddinter.scbdd.com/ddinter/inter-detail/1097/,2026-09-09T10:09:05+00:00
1101,Moderate,Metabolism,"Coadministration with quinidine or other potent inhibitors of CYP450 2D6 may significantly increase the plasma concentrations of aripiprazole, which is partially metabolized by the isoenzyme.",https://ddinter.scbdd.com/ddinter/inter-detail/1101/,2026-09-09T10:09:05+00:00
1104,Moderate,Metabolism,"Amiodarone may decrease the hepatic metabolism of theophylline. Increased theophylline serum concentrations may result. Patients with chronic obstructive pulmonary disease, congestive heart failure, or cirrhosis may have slower theophylline clearance rates; therefore, they may be at greater risk of developing theophylline toxicity.",https://ddinter.scbdd.com/ddinter/inter-detail/1104/,2026-09-09T10:09:05+00:00
1111,Moderate,Synergy,Limited data suggest that duloxetine may potentiate the hypoprothrombinemic effects of warfarin. The mechanism of interaction is unknown.,https://ddinter.scbdd.com/ddinter/inter-detail/1111/,2026-09-09T10:09:05+00:00
