pair_id,definition_id,ddinter_id_a,drug_a,drugbank_id_a,ddinter_id_b,drug_b,drugbank_id_b,severity,mechanism,pair_key,detail_url,scraped_at
951800,3555,DDInter14,Acetaminophen,,DDInter293,Carbamazepine,,Moderate,Metabolism,DDInter14|DDInter293,https://ddinter.scbdd.com/ddinter/interact/951800/,2026-09-09T18:58:10+00:00
951846,4837,DDInter1174,Methotrexate,,DDInter14,Acetaminophen,,Moderate,Synergy,DDInter1174|DDInter14,https://ddinter.scbdd.com/ddinter/interact/951846/,2026-09-09T18:58:25+00:00
951859,1469,DDInter14,Acetaminophen,,DDInter1460,Phenytoin,,Moderate,Metabolism,DDInter14|DDInter1460,https://ddinter.scbdd.com/ddinter/interact/951859/,2026-09-09T18:58:12+00:00
951871,4357,DDInter14,Acetaminophen,,DDInter1590,Rifampicin,,Minor,Synergy,DDInter14|DDInter1590,https://ddinter.scbdd.com/ddinter/interact/951871/,2026-09-09T18:58:30+00:00
951890,2218,DDInter14,Acetaminophen,,DDInter1951,Warfarin,,Moderate,Synergy,DDInter14|DDInter1951,https://ddinter.scbdd.com/ddinter/interact/951890/,2026-09-09T18:58:41+00:00
957488,3104,DDInter79,Amlodipine,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter79|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957488/,2026-09-09T18:58:20+00:00
957495,3871,DDInter108,Apixaban,,DDInter900,Ibuprofen,,Major,Synergy,DDInter108|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957495/,2026-09-09T16:49:23+00:00
957501,2136,DDInter20,Acetylsalicylic acid,,DDInter900,Ibuprofen,,Major,Antagonism; Synergy,DDInter20|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957501/,2026-09-09T18:58:32+00:00
957515,2589,DDInter216,Bisoprolol,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter216|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957515/,2026-09-09T18:58:08+00:00
957530,2589,DDInter305,Carvedilol,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter305|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957530/,2026-09-09T18:58:14+00:00
957539,165,DDInter384,Ciprofloxacin,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter384|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957539/,2026-09-09T18:58:35+00:00
957543,4073,DDInter413,Clopidogrel,,DDInter900,Ibuprofen,,Moderate,Others,DDInter413|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957543/,2026-09-09T18:58:28+00:00
957545,4525,DDInter458,Cyclosporine,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter458|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957545/,2026-09-09T18:58:22+00:00
957559,3212,DDInter513,Dexamethasone,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter513|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957559/,2026-09-09T18:58:39+00:00
957566,3689,DDInter554,Digoxin,,DDInter900,Ibuprofen,,Moderate,Excretion,DDInter554|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957566/,2026-09-09T18:58:26+00:00
957572,3602,DDInter608,Duloxetine,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter608|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957572/,2026-09-09T18:58:16+00:00
957575,3643,DDInter638,Enalapril,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter638|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957575/,2026-09-09T18:58:37+00:00
957584,3602,DDInter672,Escitalopram,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter672|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957584/,2026-09-09T16:51:40+00:00
957599,3602,DDInter758,Fluoxetine,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter758|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957599/,2026-09-09T18:58:43+00:00
957605,4540,DDInter790,Furosemide,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter790|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957605/,2026-09-09T18:58:47+00:00
957609,3671,DDInter825,Glimepiride,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter825|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957609/,2026-09-09T18:59:05+00:00
957613,5408,DDInter856,Heparin,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter856|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957613/,2026-09-09T18:58:59+00:00
957615,4540,DDInter883,Hydrochlorothiazide,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter883|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957615/,2026-09-09T18:59:11+00:00
957651,165,DDInter1055,Levofloxacin,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter1055|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957651/,2026-09-09T16:51:10+00:00
957659,3922,DDInter1095,Losartan,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter1095|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957659/,2026-09-09T18:59:14+00:00
957666,4328,DDInter1164,Metformin,,DDInter900,Ibuprofen,,Moderate,Others,DDInter1164|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957666/,2026-09-09T18:58:55+00:00
957667,3474,DDInter1174,Methotrexate,,DDInter900,Ibuprofen,,Major,Excretion,DDInter1174|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957667/,2026-09-09T18:58:49+00:00
957712,2067,DDInter1460,Phenytoin,,DDInter900,Ibuprofen,,Minor,Distribution,DDInter1460|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957712/,2026-09-09T18:59:09+00:00
957737,3643,DDInter1565,Ramipril,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter1565|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957737/,2026-09-09T18:58:51+00:00
957747,1331,DDInter1607,Ritonavir,DB00503,DDInter900,Ibuprofen,DB01050,Minor,Metabolism,DDInter1607|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957747,2026-09-09T10:10:56+00:00
957748,1668,DDInter1609,Rivaroxaban,,DDInter900,Ibuprofen,,Major,Synergy,DDInter1609|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957748/,2026-09-09T16:51:55+00:00
957757,4540,DDInter1707,Spironolactone,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter1707|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957757/,2026-09-09T18:58:53+00:00
957764,5152,DDInter1735,Tacrolimus,,DDInter900,Ibuprofen,,Major,Synergy,DDInter1735|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957764/,2026-09-09T18:59:07+00:00
957772,5358,DDInter1802,Ticagrelor,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter1802|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957772/,2026-09-09T16:52:05+00:00
957795,1444,DDInter1913,Valproic acid,,DDInter900,Ibuprofen,,Minor,Distribution,DDInter1913|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957795/,2026-09-09T18:59:00+00:00
957796,3922,DDInter1915,Valsartan,,DDInter900,Ibuprofen,,Moderate,Antagonism,DDInter1915|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957796/,2026-09-09T18:58:46+00:00
957799,3602,DDInter1927,Venlafaxine,,DDInter900,Ibuprofen,,Moderate,Synergy,DDInter1927|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957799/,2026-09-09T18:58:57+00:00
957806,2332,DDInter1951,Warfarin,,DDInter900,Ibuprofen,,Major,Synergy,DDInter1951|DDInter900,https://ddinter.scbdd.com/ddinter/interact/957806/,2026-09-09T18:59:16+00:00
962788,2605,DDInter76,Amiodarone,,DDInter790,Furosemide,,Major,Synergy,DDInter76|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962788/,2026-09-09T18:59:02+00:00
962796,2192,DDInter118,Aripiprazole,,DDInter790,Furosemide,,Moderate,Synergy,DDInter118|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962796/,2026-09-09T18:59:18+00:00
962799,910,DDInter20,Acetylsalicylic acid,,DDInter790,Furosemide,,Minor,Antagonism,DDInter20|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962799/,2026-09-09T18:59:26+00:00
962809,3309,DDInter216,Bisoprolol,,DDInter790,Furosemide,,Moderate,Synergy,DDInter216|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962809/,2026-09-09T18:59:20+00:00
962821,3291,DDInter293,Carbamazepine,,DDInter790,Furosemide,,Moderate,Synergy,DDInter293|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962821/,2026-09-09T18:59:38+00:00
962826,3309,DDInter305,Carvedilol,,DDInter790,Furosemide,,Moderate,Synergy,DDInter305|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962826/,2026-09-09T18:59:42+00:00
962841,5442,DDInter334,Ceftriaxone,,DDInter790,Furosemide,,Moderate,Synergy,DDInter334|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962841/,2026-09-09T18:59:40+00:00
962850,4688,DDInter384,Ciprofloxacin,,DDInter790,Furosemide,,Minor,Excretion,DDInter384|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962850/,2026-09-09T18:59:24+00:00
962862,860,DDInter458,Cyclosporine,,DDInter790,Furosemide,,Moderate,Synergy,DDInter458|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962862/,2026-09-09T18:59:22+00:00
962863,2128,DDInter474,Dapagliflozin,,DDInter790,Furosemide,,Moderate,Synergy,DDInter474|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962863/,2026-09-09T19:58:58+00:00
962869,1264,DDInter554,Digoxin,DB00390,DDInter790,Furosemide,DB00695,Moderate,Synergy,DDInter554|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962869,2026-09-09T10:09:40+00:00
962880,5419,DDInter608,Duloxetine,,DDInter790,Furosemide,,Moderate,Synergy,DDInter608|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962880/,2026-09-09T18:59:44+00:00
962881,2128,DDInter636,Empagliflozin,,DDInter790,Furosemide,,Moderate,Synergy,DDInter636|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962881/,2026-09-09T19:58:58+00:00
962882,2948,DDInter638,Enalapril,,DDInter790,Furosemide,,Moderate,Synergy,DDInter638|DDInter790,https://ddinter.scbdd.com/ddinter/interact/962882/,2026-09-09T18:59:34+00:00
964295,2605,DDInter76,Amiodarone,,DDInter883,Hydrochlorothiazide,,Major,Synergy,DDInter76|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964295/,2026-09-09T18:59:32+00:00
964298,4057,DDInter79,Amlodipine,,DDInter883,Hydrochlorothiazide,,Minor,Synergy,DDInter79|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964298/,2026-09-09T18:59:28+00:00
964308,2192,DDInter118,Aripiprazole,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter118|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964308/,2026-09-09T18:59:36+00:00
964323,3309,DDInter216,Bisoprolol,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter216|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964323/,2026-09-09T18:59:30+00:00
964351,3291,DDInter293,Carbamazepine,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter293|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964351/,2026-09-09T18:59:46+00:00
964355,3309,DDInter305,Carvedilol,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter305|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964355/,2026-09-09T18:59:49+00:00
964377,4977,DDInter474,Dapagliflozin,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter474|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964377/,2026-09-09T19:58:46+00:00
964383,3910,DDInter513,Dexamethasone,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter513|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964383/,2026-09-09T19:00:09+00:00
964394,1264,DDInter554,Digoxin,DB00390,DDInter883,Hydrochlorothiazide,DB00999,Moderate,Synergy,DDInter554|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964394,2026-09-09T10:09:40+00:00
964409,5419,DDInter608,Duloxetine,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter608|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964409/,2026-09-09T18:59:52+00:00
964410,4977,DDInter636,Empagliflozin,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter636|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964410/,2026-09-09T19:58:46+00:00
964414,5419,DDInter672,Escitalopram,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter672|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964414/,2026-09-09T16:54:31+00:00
964425,5419,DDInter758,Fluoxetine,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter758|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964425/,2026-09-09T18:59:54+00:00
964430,1385,DDInter790,Furosemide,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter790|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964430/,2026-09-09T19:00:00+00:00
964433,1297,DDInter825,Glimepiride,DB00222,DDInter883,Hydrochlorothiazide,DB00999,Moderate,Antagonism,DDInter825|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964433,2026-09-09T10:10:13+00:00
964513,5271,DDInter1164,Metformin,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter1164|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964513/,2026-09-09T19:00:07+00:00
964518,842,DDInter1174,Methotrexate,,DDInter883,Hydrochlorothiazide,,Moderate,Others,DDInter1174|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964518/,2026-09-09T18:59:56+00:00
964544,2192,DDInter1326,Olanzapine,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter1326|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964544/,2026-09-09T18:59:50+00:00
964548,4614,DDInter1340,Omeprazole,,DDInter883,Hydrochlorothiazide,,Moderate,Synergy,DDInter1340|DDInter883,https://ddinter.scbdd.com/ddinter/interact/964548/,2026-09-09T19:00:05+00:00
